,record,original,predict,top5,inTop5,correct,mmr
0,0,10.0,"[[ 1.47593236  5.        ]
 [ 1.47682714  8.        ]
 [ 1.85761261  9.        ]
 [ 1.95107567 18.        ]
 [ 1.98360729 19.        ]
 [ 2.02183878 20.        ]
 [ 2.32589185 21.        ]
 [ 2.6520071  23.        ]
 [ 8.56895351 24.        ]]",[ 5.  8.  9. 18. 19.],0,0,0.0
1,1,10.0,"[[ 1.23374786  5.        ]
 [ 1.33495283  7.        ]
 [ 1.69390416 10.        ]
 [ 1.81088495 13.        ]
 [ 1.83502322 17.        ]
 [ 2.211766   18.        ]
 [ 2.30825853 19.        ]
 [ 2.5998106  23.        ]]",[ 5.  7. 10. 13. 17.],1,1,0.3333333333333333
2,3,0.0,"[[ 1.39733791  5.        ]
 [ 1.56178832  9.        ]
 [ 2.05898941 20.        ]
 [ 3.54639244 21.        ]
 [ 6.15330844 24.        ]]",[ 5.  9. 20. 21. 24.],0,1,0.0
3,4,0.0,"[[ 0.81531757  5.        ]
 [ 1.02424236  7.        ]
 [ 1.43834129  8.        ]
 [ 1.50854905  9.        ]
 [ 1.5714097  10.        ]
 [ 1.57826004 13.        ]
 [ 1.73137192 16.        ]
 [ 1.73480088 17.        ]
 [ 1.84741879 18.        ]
 [ 1.91842112 19.        ]
 [ 1.93178415 21.        ]
 [ 2.23318481 23.        ]]",[ 5.  7.  8.  9. 10.],0,0,0.0
4,5,10.0,"[[ 1.15917933  7.        ]
 [ 1.31709337  8.        ]
 [ 1.45790241 10.        ]
 [ 1.52477241 11.        ]
 [ 1.61254215 18.        ]
 [ 1.79019713 23.        ]
 [ 1.94333959 24.        ]]",[ 7.  8. 10. 11. 18.],1,1,0.3333333333333333
5,6,10.0,"[[ 1.41933513  7.        ]
 [ 1.48506689  9.        ]
 [ 1.92890382 12.        ]
 [ 2.6069715  17.        ]
 [ 2.64757729 18.        ]
 [ 3.54103792 21.        ]
 [ 5.11908978 23.        ]
 [ 9.11911011 24.        ]]",[ 7.  9. 12. 17. 18.],0,0,0.0
6,7,10.0,"[[ 1.29951     5.        ]
 [ 1.37390232  9.        ]
 [ 1.71222091 10.        ]
 [ 2.07108295 23.        ]
 [ 6.0887239  24.        ]]",[ 5.  9. 10. 23. 24.],1,1,0.3333333333333333
7,8,10.0,"[[ 1.15789115  5.        ]
 [ 1.2397716   7.        ]
 [ 1.37651134  9.        ]
 [ 2.30437386 23.        ]]",[ 5.  7.  9. 23.],0,0,0.0
8,9,10.0,"[[ 1.23517129  5.        ]
 [ 1.37033558  7.        ]
 [ 1.48000944  9.        ]
 [ 1.64326674 10.        ]
 [ 1.87138331 16.        ]
 [ 2.07296515 19.        ]
 [ 3.85006058 23.        ]
 [ 5.636163   24.        ]]",[ 5.  7.  9. 10. 16.],1,1,0.25
9,10,10.0,"[[ 1.45507318  9.        ]
 [ 1.65557694 10.        ]
 [ 3.04768705 23.        ]
 [ 8.06119037 24.        ]]",[ 9. 10. 23. 24.],1,1,0.5
