,record,original,predict,top5,inTop5,correct,mmr
0,0,0.0,"[[ 0.06622067  5.        ]
 [ 0.07355911  8.        ]
 [ 0.07431424  9.        ]
 [ 0.07512739 10.        ]
 [ 0.07603348 11.        ]
 [ 0.0764774  12.        ]
 [ 0.07841596 13.        ]
 [ 0.07978179 14.        ]
 [ 0.08124243 16.        ]
 [ 0.08225408 17.        ]
 [ 0.08372263 18.        ]
 [ 0.08483008 19.        ]
 [ 0.08645266 20.        ]
 [ 0.08819619 21.        ]
 [ 0.08869702 23.        ]
 [ 0.09124372 24.        ]
 [ 0.10160433 34.        ]]",[ 5.  8.  9. 10. 11.],0,0,0.0
1,1,0.0,"[[ 0.06225473  9.        ]
 [ 0.0766679  12.        ]
 [ 0.08951986 17.        ]
 [ 0.09276164 19.        ]
 [ 0.0953545  20.        ]
 [ 0.10190419 23.        ]
 [ 0.13745296 24.        ]]",[ 9. 12. 17. 19. 20.],0,1,0.0
2,2,0.0,"[[ 0.06826368  9.        ]
 [ 0.07106781 10.        ]
 [ 0.08016186 19.        ]
 [ 0.08416545 21.        ]
 [ 0.08644527 23.        ]
 [ 0.09296417 24.        ]
 [ 0.14372468 34.        ]]",[ 9. 10. 19. 21. 23.],0,0,0.0
3,3,0.0,"[[ 0.0695197   5.        ]
 [ 0.07522159  9.        ]
 [ 0.07917103 10.        ]
 [ 0.07954373 16.        ]
 [ 0.07995951 18.        ]
 [ 0.08783445 19.        ]
 [ 0.1004946  21.        ]
 [ 0.10616511 23.        ]
 [ 0.12729841 24.        ]
 [ 0.1423102  34.        ]]",[ 5.  9. 10. 16. 18.],0,0,0.0
4,4,10.0,"[[ 0.0631779   9.        ]
 [ 0.0692524  10.        ]
 [ 0.08513131 16.        ]
 [ 0.09870219 17.        ]
 [ 0.10538793 19.        ]
 [ 0.10807611 23.        ]
 [ 0.12788141 24.        ]
 [ 0.1658684  34.        ]]",[ 9. 10. 16. 17. 19.],1,1,0.5
5,5,0.0,"[[ 0.06175087  5.        ]
 [ 0.06539038  9.        ]
 [ 0.06933149 16.        ]
 [ 0.07144484 17.        ]
 [ 0.07152192 19.        ]
 [ 0.07410131 20.        ]
 [ 0.08243483 23.        ]
 [ 0.09281392 24.        ]
 [ 0.10485852 34.        ]]",[ 5.  9. 16. 17. 19.],0,1,0.0
6,8,0.0,"[[ 0.07100932  1.        ]
 [ 0.07139623  5.        ]
 [ 0.07203627  7.        ]
 [ 0.0765067   9.        ]
 [ 0.07703001 10.        ]
 [ 0.07713964 11.        ]
 [ 0.07734391 13.        ]
 [ 0.0775799  14.        ]
 [ 0.07848627 15.        ]
 [ 0.07967893 16.        ]
 [ 0.08106333 17.        ]
 [ 0.08479339 18.        ]
 [ 0.08511585 19.        ]
 [ 0.08578575 20.        ]
 [ 0.08803421 21.        ]
 [ 0.08837847 23.        ]
 [ 0.09532653 24.        ]
 [ 0.10087759 33.        ]
 [ 0.1175149  34.        ]]",[ 1.  5.  7.  9. 10.],0,0,0.0
7,9,10.0,"[[ 0.06663764  5.        ]
 [ 0.06756622  7.        ]
 [ 0.06765711 11.        ]
 [ 0.07065046 15.        ]
 [ 0.07080698 16.        ]
 [ 0.07433462 17.        ]
 [ 0.07482785 20.        ]
 [ 0.08749297 21.        ]
 [ 0.08943808 23.        ]
 [ 0.13324904 24.        ]]",[ 5.  7. 11. 15. 16.],0,0,0.0
8,11,10.0,"[[ 0.06201684  5.        ]
 [ 0.06761478  7.        ]
 [ 0.07239753  9.        ]
 [ 0.07549032 10.        ]
 [ 0.08301145 16.        ]
 [ 0.08311187 17.        ]
 [ 0.08580206 18.        ]
 [ 0.0887896  19.        ]
 [ 0.09128596 20.        ]
 [ 0.09628701 23.        ]
 [ 0.09675438 24.        ]
 [ 0.14605196 34.        ]]",[ 5.  7.  9. 10. 16.],1,1,0.25
9,12,0.0,"[[ 0.06425664  7.        ]
 [ 0.06730525  9.        ]
 [ 0.07070836 10.        ]
 [ 0.08645408 11.        ]
 [ 0.09551173 15.        ]
 [ 0.09788798 16.        ]
 [ 0.0991452  17.        ]
 [ 0.10149312 18.        ]
 [ 0.10350633 19.        ]
 [ 0.10482267 20.        ]
 [ 0.11956279 21.        ]
 [ 0.12264455 23.        ]
 [ 0.12893623 24.        ]]",[ 7.  9. 10. 11. 15.],0,0,0.0
