,record,original,predict,top5,inTop5,correct,mmr
0,4,10.0,"[[ 0.12685764  7.        ]
 [ 0.12721126  9.        ]
 [ 0.12920148 10.        ]
 [ 0.13796452 13.        ]
 [ 0.14073288 16.        ]
 [ 0.14488057 18.        ]
 [ 0.14813928 19.        ]
 [ 0.15036714 20.        ]
 [ 0.15322804 23.        ]
 [ 0.18928339 24.        ]
 [ 0.22383654 33.        ]]",[ 7.  9. 10. 13. 16.],1,1,0.3333333333333333
1,8,0.0,"[[ 0.10576603  7.        ]
 [ 0.11852329  8.        ]
 [ 0.14145398  9.        ]
 [ 0.17775813 10.        ]
 [ 0.18066844 11.        ]
 [ 0.18571355 12.        ]
 [ 0.18593414 13.        ]
 [ 0.18659174 16.        ]
 [ 0.19658446 17.        ]
 [ 0.19684591 18.        ]
 [ 0.19903032 19.        ]
 [ 0.20435783 20.        ]
 [ 0.21864242 23.        ]
 [ 0.22486687 24.        ]
 [ 0.2376287  33.        ]]",[ 7.  8.  9. 10. 11.],0,0,0.0
2,9,10.0,"[[ 0.14040598  9.        ]
 [ 0.15117124 10.        ]
 [ 0.15563862 13.        ]
 [ 0.15736128 16.        ]
 [ 0.1618304  17.        ]
 [ 0.16841901 18.        ]
 [ 0.16945375 19.        ]
 [ 0.16978882 20.        ]
 [ 0.17058837 23.        ]
 [ 0.17312227 24.        ]
 [ 0.17680216 33.        ]
 [ 0.21061061 34.        ]]",[ 9. 10. 13. 16. 17.],1,1,0.5
3,11,10.0,"[[ 0.16821845 10.        ]
 [ 0.16918784 16.        ]
 [ 0.17225152 18.        ]
 [ 0.17571831 19.        ]
 [ 0.182221   20.        ]
 [ 0.19373012 23.        ]
 [ 0.24949012 24.        ]
 [ 0.30001706 33.        ]]",[10. 16. 18. 19. 20.],1,1,1.0
4,16,10.0,"[[ 0.12296911  0.        ]
 [ 0.12752879  3.        ]
 [ 0.13108716  7.        ]
 [ 0.13185018  8.        ]
 [ 0.13719994  9.        ]
 [ 0.14265835 10.        ]
 [ 0.14304235 12.        ]
 [ 0.1449483  13.        ]
 [ 0.14817744 16.        ]
 [ 0.15014392 17.        ]
 [ 0.15108722 18.        ]
 [ 0.155635   19.        ]
 [ 0.15702122 20.        ]
 [ 0.16277212 23.        ]
 [ 0.16890179 24.        ]
 [ 0.1694493  33.        ]
 [ 0.18066093 34.        ]]",[0. 3. 7. 8. 9.],0,0,0.0
5,17,0.0,"[[ 0.1055572   7.        ]
 [ 0.12453449  9.        ]
 [ 0.13471282 11.        ]
 [ 0.13503102 12.        ]
 [ 0.13753756 15.        ]
 [ 0.13813075 16.        ]
 [ 0.14088501 17.        ]
 [ 0.14314473 18.        ]
 [ 0.14546221 19.        ]
 [ 0.14847404 20.        ]
 [ 0.15185893 23.        ]
 [ 0.16077757 24.        ]
 [ 0.17051816 27.        ]
 [ 0.20289192 28.        ]
 [ 0.23274913 33.        ]
 [ 0.297609   34.        ]]",[ 7.  9. 11. 12. 15.],0,0,0.0
6,18,0.0,"[[ 0.11936943  7.        ]
 [ 0.1272017   8.        ]
 [ 0.1273548   9.        ]
 [ 0.13102788 10.        ]
 [ 0.1367842  11.        ]
 [ 0.13907985 12.        ]
 [ 0.14088285 16.        ]
 [ 0.14732146 17.        ]
 [ 0.14867473 18.        ]
 [ 0.15009988 19.        ]
 [ 0.15522116 20.        ]
 [ 0.15800868 23.        ]
 [ 0.17251194 24.        ]
 [ 0.1795154  28.        ]
 [ 0.23756156 33.        ]
 [ 0.24722556 34.        ]]",[ 7.  8.  9. 10. 11.],0,0,0.0
7,19,10.0,"[[ 0.14291298  8.        ]
 [ 0.15261686 10.        ]
 [ 0.15529776 13.        ]
 [ 0.16092595 16.        ]
 [ 0.16761678 18.        ]
 [ 0.16992211 20.        ]
 [ 0.17636308 21.        ]
 [ 0.18170661 23.        ]
 [ 0.20156765 24.        ]
 [ 0.25401988 33.        ]]",[ 8. 10. 13. 16. 18.],1,1,0.5
8,21,10.0,"[[ 0.16524597  8.        ]
 [ 0.17128117  9.        ]
 [ 0.17332136 10.        ]
 [ 0.17439745 12.        ]
 [ 0.1749622  13.        ]
 [ 0.17635212 16.        ]
 [ 0.18207778 17.        ]
 [ 0.18381025 18.        ]
 [ 0.18458638 19.        ]
 [ 0.18755592 20.        ]
 [ 0.18917529 21.        ]
 [ 0.19190766 23.        ]
 [ 0.1939616  24.        ]
 [ 0.19409359 28.        ]
 [ 0.19466688 33.        ]]",[ 8.  9. 10. 12. 13.],1,1,0.3333333333333333
9,22,10.0,"[[ 0.10230023  7.        ]
 [ 0.10816467 10.        ]
 [ 0.1125561  18.        ]
 [ 0.11394296 20.        ]
 [ 0.12131023 23.        ]
 [ 0.13512977 24.        ]
 [ 0.1471815  28.        ]]",[ 7. 10. 18. 20. 23.],1,1,0.5
